YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,WEATHER_ARR_DEG,DISTANCE_TYPE,IS_HOLYDAY,IS_VICATION,WEATHER_DEP_DESC,WEATHER_DEP_DESC_CODE,WEATHER_DEP_DEG,WEATHER_ARR_DESC,WEATHER_ARR_DESC_CODE,DELAY_TYPE
2015,1,1,4,DL,1890,DFW,TLV,545,603,18,13,616,124,104,86,731,842,5,849,847,-2,18.1,Short,FALSE,FALSE,Moderate or heavy rain shower,1243,10.4,Clear,1000,No Delay
2015,1,1,4,DL,904,LGA,TLV,600,601,1,11,612,159,126,111,762,803,4,839,807,-32,18.1,Short,FALSE,FALSE,Partly cloudy,1003,-12.4,Clear,1000,No Delay
2015,1,1,4,DL,977,ORD,TLV,600,602,2,19,621,127,104,80,606,841,5,907,846,-21,18.1,Short,FALSE,FALSE,Overcast,1009,-9.4,Clear,1000,No Delay
2015,1,1,4,DL,2154,LAX,TLV,600,559,-1,12,611,250,231,213,1947,1244,6,1310,1250,-20,15.8,Median,FALSE,FALSE,Clear,1000,14.5,Clear,1000,No Delay
2015,1,1,4,DL,327,PHL,TLV,610,608,-2,16,624,155,126,103,666,807,7,845,814,-31,18.1,Short,FALSE,FALSE,Partly cloudy,1003,-10.3,Clear,1000,No Delay
2015,1,1,4,DL,1518,MCO,TLV,620,613,-7,22,635,91,89,61,404,736,6,751,742,-9,18.1,Short,FALSE,FALSE,Partly cloudy,1003,13.5,Clear,1000,No Delay
2015,1,1,4,AA,1635,TLV,DFW,625,,,,,150,,,731,,,755,,,9.9,Short,FALSE,FALSE,Clear,1000,12.4,Overcast,1009,Heavy Delay
2015,1,1,4,DL,891,MIA,TLV,625,621,-4,16,637,120,105,84,594,801,5,825,806,-19,18.1,Short,FALSE,FALSE,Partly cloudy,1003,18.9,Clear,1000,No Delay
2015,1,1,4,DL,1872,TPA,TLV,630,629,-1,9,638,88,74,61,406,739,4,758,743,-15,18.1,Short,FALSE,FALSE,Clear,1000,11.4,Clear,1000,No Delay
2015,1,1,4,DL,827,FLL,TLV,645,639,-6,13,652,114,101,81,581,813,7,839,820,-19,18.1,Short,FALSE,FALSE,Partly cloudy,1003,19.3,Clear,1000,No Delay
2015,1,1,4,DL,886,TLV,LGA,645,644,-1,31,715,128,137,97,762,852,9,853,901,8,-12.4,Short,FALSE,FALSE,Clear,1000,18.1,Partly cloudy,1003,No Delay
2015,1,1,4,WN,739,MSY,TLV,650,647,-3,6,653,85,72,60,425,853,6,915,859,-16,18.1,Short,FALSE,FALSE,Cloudy,1006,15.6,Clear,1000,No Delay
2015,1,1,4,WN,537,MCO,TLV,655,651,-4,12,703,95,95,63,404,806,20,830,826,-4,18.1,Short,FALSE,FALSE,Partly cloudy,1003,13.5,Clear,1000,No Delay
2015,1,1,4,DL,1818,TLV,MCO,655,654,-1,14,708,87,81,59,404,807,8,822,815,-7,13.5,Short,FALSE,FALSE,Clear,1000,18.1,Partly cloudy,1003,No Delay
2015,1,1,4,DL,1547,LGA,TLV,659,658,-1,15,713,164,134,115,762,908,4,943,912,-31,18.1,Short,FALSE,FALSE,Partly cloudy,1003,-12.4,Clear,1000,No Delay
2015,1,1,4,US,461,TLV,CLT,700,658,-2,15,713,72,63,38,226,751,10,812,801,-11,0.5,Short,FALSE,FALSE,Clear,1000,18.1,Overcast,1009,No Delay
2015,1,1,4,AA,17,TLV,MIA,700,656,-4,15,711,112,106,82,594,833,9,852,842,-10,18.9,Short,FALSE,FALSE,Clear,1000,18.1,Partly cloudy,1003,No Delay
2015,1,1,4,AA,1513,DFW,TLV,700,655,-5,11,706,125,105,89,731,935,5,1005,940,-25,18.1,Short,FALSE,FALSE,Moderate or heavy rain shower,1243,10.4,Clear,1000,No Delay
2015,1,1,4,DL,872,DCA,TLV,700,703,3,14,717,126,102,83,547,840,5,906,845,-21,19.6,Short,FALSE,FALSE,Cloudy,1006,-4.5,Clear,1000,No Delay
2015,1,1,4,NK,231,TLV,FLL,700,725,25,10,735,108,100,80,581,855,10,848,905,17,19.8,Short,FALSE,FALSE,Clear,1000,19.6,Partly cloudy,1003,Delayed
2015,1,1,4,DL,1415,CLT,TLV,715,723,8,24,747,80,74,45,226,832,5,835,837,2,19.6,Short,FALSE,FALSE,Overcast,1009,1.7,Clear,1000,No Delay
2015,1,1,4,DL,2124,MSY,TLV,715,712,-3,10,722,87,75,57,425,919,8,942,927,-15,19.6,Short,FALSE,FALSE,Cloudy,1006,16.1,Clear,1000,No Delay
2015,1,1,4,WN,1954,FLL,TLV,725,722,-3,10,732,115,107,90,581,902,7,920,909,-11,19.6,Short,FALSE,FALSE,Partly cloudy,1003,19.8,Clear,1000,No Delay
2015,1,1,4,WN,1361,PHL,TLV,725,721,-4,9,730,135,127,110,666,920,8,940,928,-12,19.6,Short,FALSE,FALSE,Partly cloudy,1003,-8.2,Clear,1000,No Delay
2015,1,1,4,DL,369,LAX,TLV,730,726,-4,12,738,252,237,214,1947,1412,11,1442,1423,-19,19.6,Median,FALSE,FALSE,Clear,1000,16.3,Clear,1000,No Delay
2015,1,1,4,DL,2103,TLV,MIA,730,729,-1,24,753,116,109,80,594,913,5,926,918,-8,19.6,Short,FALSE,FALSE,Clear,1000,19.6,Partly cloudy,1003,No Delay
2015,1,1,4,F9,1070,ORD,TLV,730,835,65,15,850,110,106,82,606,1112,9,1020,1121,61,21.2,Short,FALSE,FALSE,Blizzard,1117,-9.9,Sunny,1000,Heavy Delay
2015,1,1,4,NK,163,DFW,TLV,731,,,,,121,,,731,,,1032,,,12.4,Short,FALSE,FALSE,Overcast,1009,9.9,Clear,1000,Heavy Delay
2015,1,1,4,WN,742,TPA,TLV,740,739,-1,9,748,90,108,69,406,857,30,910,927,17,19.6,Short,FALSE,FALSE,Clear,1000,13.6,Clear,1000,Delayed
2015,1,1,4,DL,1625,BWI,TLV,740,750,10,17,807,126,106,86,577,933,3,946,936,-10,19.6,Short,FALSE,FALSE,Partly cloudy,1003,-5.2,Clear,1000,No Delay
2015,1,1,4,NK,404,FLL,TLV,740,739,-1,13,752,114,124,85,581,917,26,934,943,9,19.6,Short,FALSE,FALSE,Partly cloudy,1003,19.8,Clear,1000,No Delay
2015,1,1,4,DL,986,TLV,LGA,745,740,-5,32,812,130,169,98,762,950,39,955,1029,34,-10.6,Short,FALSE,FALSE,Clear,1000,19.6,Partly cloudy,1003,Delayed
2015,1,1,4,DL,1460,MIA,TLV,745,825,40,19,844,120,107,84,594,1008,4,945,1012,27,21.2,Short,FALSE,FALSE,Clear,1000,20.3,Sunny,1000,Delayed
2015,1,1,4,DL,1927,FLL,TLV,745,740,-5,19,759,114,112,84,581,923,9,939,932,-7,19.6,Short,FALSE,FALSE,Partly cloudy,1003,19.8,Clear,1000,No Delay
2015,1,1,4,DL,1647,LGA,TLV,759,756,-3,24,820,168,145,113,762,1013,8,1047,1021,-26,19.6,Short,FALSE,FALSE,Partly cloudy,1003,-10.6,Clear,1000,No Delay
2015,1,1,4,DL,1139,DCA,TLV,800,754,-6,13,807,124,108,84,547,931,11,1004,942,-22,19.6,Short,FALSE,FALSE,Cloudy,1006,-4.5,Clear,1000,No Delay
2015,1,1,4,DL,2226,TLV,FLL,800,759,-1,15,814,110,98,80,581,934,3,950,937,-13,19.8,Short,FALSE,FALSE,Clear,1000,19.6,Partly cloudy,1003,No Delay
2015,1,1,4,WN,2098,TLV,PHL,810,802,-8,12,814,125,107,90,666,944,5,1015,949,-26,-6.2,Short,FALSE,FALSE,Sunny,1000,21.2,Partly cloudy,1003,No Delay
2015,1,1,4,AA,314,DFW,TLV,815,808,-7,43,851,120,139,90,731,1121,6,1115,1127,12,21.2,Short,FALSE,FALSE,Light rain shower,1240,10.9,Sunny,1000,No Delay
