CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
PC,779,PEGASUS AIRLINES,2022-09-03T00:15:00,2022-09-03T01:04:00,A,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
AA,145,AMERICAN AIRLINES,2022-09-03T00:50:00,2022-09-03T01:05:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,56-63,C,DEPARTED,המריאה
UA,955,UNITED AIRLINES,2022-09-03T00:55:00,2022-09-03T01:26:00,D,SFO,SAN FRANCISCO,סן פרנסיסקו,SAN FRANCISCO,ארצות הברית,UNITED STATES,3,23-27,A,DEPARTED,המריאה
JU,8256,AIR SERBIA,2022-09-03T00:50:00,2022-09-03T01:31:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-37,B,DEPARTED,המריאה
TK,791,TURKISH AIRLINES,2022-09-03T00:50:00,2022-09-03T01:31:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-37,B,DEPARTED,המריאה
ET,405,ETHIOPIAN AIRLINES,2022-09-03T01:00:00,2022-09-03T01:38:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,28-33,A,DEPARTED,המריאה
LY,8807,EL AL ISRAEL AIRLINES,2022-09-03T01:00:00,2022-09-03T01:38:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,28-33,A,DEPARTED,המריאה
TO,3440,TRANSAVIA FRANCE,2022-09-03T00:15:00,2022-09-03T01:49:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,"","",LANDED,נחתה
A3,928,AEGEAN  AIRLINES,2022-09-03T02:00:00,2022-09-03T01:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,"","",LANDED,נחתה
IZ,514,ARKIA  ISRAELI  AIRLINES,2022-09-03T01:55:00,2022-09-03T02:04:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",LANDED,נחתה
TK,810,TURKISH AIRLINES,2022-09-03T02:10:00,2022-09-03T02:16:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
QAS,9HVCO,QUALITY AIR SERVICES,2022-09-03T02:00:00,2022-09-03T02:19:00,A,VNO,VILNIUS INTL,וילנה,VILNIUS,ליטא,LITHUANIA,3,"","",LANDED,נחתה
DL,9575,DELTA AIRLINES,2022-09-03T02:35:00,2022-09-03T02:42:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",LANDED,נחתה
KL,461,K.L.M.,2022-09-03T02:35:00,2022-09-03T02:42:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,"","",LANDED,נחתה
PC,787,PEGASUS AIRLINES,2022-09-03T02:05:00,2022-09-03T03:03:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
XC,411,CORONDON AIRLINES,2022-09-03T02:30:00,2022-09-03T03:09:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
XC,489,CORONDON AIRLINES,2022-09-03T03:30:00,2022-09-03T03:20:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
AZ,810,ITALIA TRASPORTO AEREO,2022-09-03T03:50:00,2022-09-03T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",LANDED,נחתה
FB,1772,BULGARIA  AIR,2022-09-03T03:50:00,2022-09-03T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",LANDED,נחתה
JU,7381,AIR SERBIA,2022-09-03T03:50:00,2022-09-03T03:33:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",LANDED,נחתה
ET,404,ETHIOPIAN AIRLINES,2022-09-03T04:00:00,2022-09-03T03:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2022-09-03T04:00:00,2022-09-03T03:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",LANDED,נחתה
LX,256,SWISS INT`L  AIRLINES,2022-09-03T03:35:00,2022-09-03T03:43:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,"","",LANDED,נחתה
TK,7782,TURKISH AIRLINES,2022-09-03T03:30:00,2022-09-03T03:48:00,A,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,"","",LANDED,נחתה
LO,151,LOT POLISH AIRLINES,2022-09-03T03:45:00,2022-09-03T04:15:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,"","",LANDED,נחתה
TK,792,TURKISH AIRLINES,2022-09-03T03:30:00,2022-09-03T04:47:00,A,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,"","",LANDED,נחתה
DL,5937,DELTA AIRLINES,2022-09-03T04:45:00,2022-09-03T04:53:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",LANDED,נחתה
VS,453,VIRGIN ATLANTIC AIRWAYS,2022-09-03T04:45:00,2022-09-03T04:53:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,"","",LANDED,נחתה
DL,9176,DELTA AIRLINES,2022-09-03T04:45:00,2022-09-03T05:01:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,40-43,B,DEPARTED,המריאה
KL,462,K.L.M.,2022-09-03T04:45:00,2022-09-03T05:01:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,40-43,B,DEPARTED,המריאה
OK,5288,CZECH AIRLINES,2022-09-03T04:35:00,2022-09-03T05:10:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",LANDED,נחתה
QS,1286,SMARTWINGS,2022-09-03T04:35:00,2022-09-03T05:10:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",LANDED,נחתה
TK,793,TURKISH AIRLINES,2022-09-03T04:50:00,2022-09-03T05:10:00,D,IST,ISTANBUL,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
6H,7768,ISRAIR AIRLINES,2022-09-03T04:35:00,2022-09-03T05:10:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",LANDED,נחתה
QS,0253P,SMARTWINGS,2022-09-03T00:40:00,2022-09-03T05:12:00,D,HRG,HURGHADA,הורגאדה,HURGHADA,מצרים,EGYPT,3,"","",DEPARTED,המריאה
AC,9021,AIR CANADA,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
LH,691,LUFTHANSA,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
NH,5460,ALL NIPPON AIRWAYS,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
SN,7170,BRUSSELS AIRLINES,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
UA,9121,UNITED AIRLINES,2022-09-03T04:50:00,2022-09-03T05:18:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,27-33,A,DEPARTED,המריאה
TK,7783,TURKISH AIRLINES,2022-09-03T04:50:00,2022-09-03T05:29:00,D,AYT,ANTALYA,אנטליה,ANTALYA,טורקיה,TURKEY,3,34-39,B,DEPARTED,המריאה
PC,786,PEGASUS AIRLINES,2022-09-03T05:10:00,2022-09-03T05:37:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,48-51,B,DEPARTED,המריאה
A3,929,AEGEAN  AIRLINES,2022-09-03T05:10:00,2022-09-03T05:57:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,61-63,C,DEPARTED,המריאה
AZ,809,ITALIA TRASPORTO AEREO,2022-09-03T05:15:00,2022-09-03T06:04:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,9-11,A,DEPARTED,המריאה
DL,6655,DELTA AIRLINES,2022-09-03T05:15:00,2022-09-03T06:04:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,9-11,A,DEPARTED,המריאה
