flight_number,is_summer_vacation,is_holyday,f_month,week_day,company,arrival_country,depurture_country,flight_type,weather_dep,weather_arr,punctuality,f_status,scheduled_arr_time,scheduled_dep_time,updated_arr_time,updated_dep_time,webcite,time_info_taken
6755,false,false,8,6,Ryanair,Hungary,Israel,,,,slightly late,active,2.9.2022 16:25:00,2.9.2022 12:55:00,2.9.2022 16:35:00,2.9.2022 13:11:00,https://airlabs.co/,02-09-2022  16:47:54459,false,false,8,6,Aegean Airlines,Greece,Israel,,,,very late,landed,2.9.2022 13:00:00,2.9.2022 11:05:00,2.9.2022 14:24:00,2.9.2022 12:44:00,https://airlabs.co/,02-09-2022  16:51:46
8253,false,false,8,6,Air Serbia,Turkey,Israel,,,,,landed,2.9.2022 12:50:00,2.9.2022 10:30:00,,,https://airlabs.co/,02-09-2022  16:51:46
7709,false,false,8,6,Turkish Airlines,Turkey,Israel,,,,,landed,2.9.2022 12:15:00,2.9.2022 10:20:00,2.9.2022 13:15:00,,https://airlabs.co/,02-09-2022  16:51:46
7709,false,false,8,6,SunExpress,Turkey,Israel,,,,,landed,2.9.2022 12:15:00,2.9.2022 10:20:00,2.9.2022 13:15:00,,https://airlabs.co/,02-09-2022  16:51:46
7166,false,false,8,6,Brussels Airlines,Germany,Israel,,,,,cancelled,2.9.2022 11:15:00,2.9.2022 7:15:00,,,https://airlabs.co/,02-09-2022  16:51:46
1532,false,false,8,6,Tus Airways,Cyprus,Israel,,,,,landed,2.9.2022 11:50:00,2.9.2022 10:40:00,2.9.2022 12:15:00,,https://airlabs.co/,02-09-2022  16:51:46
2370,false,false,8,6,Emirates,United Arab Emirates,Israel,,,,,landed,2.9.2022 14:20:00,2.9.2022 11:00:00,2.9.2022 14:47:00,,https://airlabs.co/,02-09-2022  16:51:46
8395,false,false,8,6,American Airlines,United Kingdom,Israel,,,,ok,landed,2.9.2022 15:35:00,2.9.2022 10:10:00,2.9.2022 15:05:00,2.9.2022 10:11:00,https://airlabs.co/,02-09-2022  16:51:46
315,false,false,8,6,EL AL Israel Airlines,United Kingdom,Israel,,,,ok,landed,2.9.2022 15:35:00,2.9.2022 10:10:00,2.9.2022 15:05:00,2.9.2022 10:11:00,https://airlabs.co/,02-09-2022  16:51:46
683,false,false,8,6,Lufthansa,Germany,Israel,,,,,cancelled,2.9.2022 11:15:00,2.9.2022 7:15:00,,,https://airlabs.co/,02-09-2022  16:51:46
